stream,subject_liked,skills,soft_skill,preferred_field,career_label
Engineering,Accounts,Problem Solving,Critical Thinking,Finance,Teacher
Arts,History,Communication,Leadership,Design,Graphic Designer
Medical,Accounts,Programming,Empathy,Design,AI Researcher
Computer Science,Biology,Research,Time Management,IT,Teacher
Computer Science,Math,Creativity,Adaptability,Marketing,Marketing Manager
Arts,Chemistry,Communication,Leadership,Engineering,Mechanical Engineer
Arts,CS,Analytical Thinking,Critical Thinking,Design,Teacher
Arts,Chemistry,Programming,Empathy,Design,Graphic Designer
Computer Science,History,Research,Adaptability,Design,Software Engineer
Management,Chemistry,Research,Critical Thinking,IT,Robotics Engineer
Management,Chemistry,Research,Adaptability,Engineering,Data Scientist
Engineering,Physics,Analytical Thinking,Adaptability,Healthcare,Doctor
Commerce,History,Programming,Collaboration,IT,Pharmacist
Computer Science,Economics,Analytical Thinking,Leadership,IT,Doctor
Medical,Math,Creativity,Collaboration,Marketing,Business Analyst
Engineering,Accounts,Research,Time Management,Finance,Doctor
Commerce,CS,Analytical Thinking,Empathy,Marketing,Web Developer
Engineering,Geography,Creativity,Adaptability,Design,Teacher
Arts,Economics,Research,Time Management,Engineering,Accountant
Arts,Biology,Programming,Leadership,Marketing,Graphic Designer
Science,Chemistry,Teamwork,Collaboration,Marketing,Data Scientist
Engineering,Math,Analytical Thinking,Critical Thinking,Engineering,Accountant
Arts,CS,Communication,Collaboration,Education,Data Scientist
Computer Science,CS,Research,Empathy,Marketing,AI Researcher
Medical,Economics,Creativity,Leadership,IT,Software Engineer
Science,Biology,Problem Solving,Empathy,Finance,Mechanical Engineer
Management,Accounts,Analytical Thinking,Empathy,Finance,Pharmacist
Medical,History,Teamwork,Time Management,Marketing,Robotics Engineer
Medical,Biology,Research,Critical Thinking,Healthcare,Mechanical Engineer
Computer Science,Geography,Research,Critical Thinking,IT,Psychologist
Medical,Math,Analytical Thinking,Leadership,Engineering,AI Researcher
Commerce,Math,Programming,Adaptability,Research,Entrepreneur
Computer Science,Physics,Problem Solving,Empathy,Finance,Data Scientist
Engineering,History,Research,Collaboration,Marketing,Accountant
Engineering,Accounts,Communication,Leadership,Marketing,UX Designer
Medical,Geography,Analytical Thinking,Empathy,Engineering,Investment Banker
Arts,CS,Teamwork,Time Management,Marketing,Robotics Engineer
Engineering,Economics,Research,Time Management,Marketing,Investment Banker
Management,History,Communication,Adaptability,Healthcare,Doctor
Commerce,Biology,Analytical Thinking,Critical Thinking,Education,Graphic Designer
Commerce,Economics,Creativity,Empathy,Marketing,UX Designer
Science,History,Communication,Leadership,IT,Software Engineer
Medical,Economics,Teamwork,Adaptability,IT,Architect
Arts,Geography,Communication,Critical Thinking,Research,Web Developer
Medical,Geography,Creativity,Time Management,Education,Marketing Manager
Engineering,Geography,Problem Solving,Adaptability,Design,Business Analyst
Medical,Chemistry,Creativity,Time Management,Healthcare,Doctor
Management,Biology,Communication,Adaptability,Design,Business Analyst
Engineering,Physics,Problem Solving,Leadership,Education,AI Researcher
Computer Science,Geography,Creativity,Leadership,Engineering,Business Analyst
Arts,Geography,Programming,Collaboration,IT,Robotics Engineer
Arts,Biology,Research,Time Management,IT,Psychologist
Arts,Geography,Programming,Empathy,Marketing,Software Engineer
Management,Math,Research,Time Management,Engineering,Architect
Medical,Geography,Analytical Thinking,Collaboration,Marketing,UX Designer
Arts,Economics,Communication,Adaptability,Healthcare,Mechanical Engineer
Medical,Math,Research,Critical Thinking,Education,Accountant
Medical,CS,Research,Adaptability,IT,AI Researcher
Arts,Accounts,Creativity,Adaptability,Healthcare,Teacher
Computer Science,CS,Communication,Time Management,Education,Architect
Management,Geography,Analytical Thinking,Time Management,IT,Software Engineer
Engineering,Biology,Communication,Time Management,IT,Web Developer
Management,Accounts,Creativity,Collaboration,Finance,Investment Banker
Medical,History,Teamwork,Empathy,IT,Business Analyst
Engineering,Geography,Problem Solving,Critical Thinking,Education,Investment Banker
Engineering,Physics,Research,Time Management,Engineering,AI Researcher
Management,Math,Communication,Critical Thinking,Design,Teacher
Computer Science,CS,Programming,Critical Thinking,IT,Data Scientist
Science,History,Creativity,Collaboration,Healthcare,Marketing Manager
Engineering,History,Analytical Thinking,Collaboration,Education,Robotics Engineer
Commerce,Accounts,Teamwork,Empathy,Marketing,Software Engineer
Science,Physics,Analytical Thinking,Time Management,Engineering,Doctor
Arts,Chemistry,Problem Solving,Empathy,Healthcare,Civil Servant
Commerce,Chemistry,Creativity,Collaboration,Finance,Mechanical Engineer
Computer Science,CS,Problem Solving,Time Management,Design,Data Scientist
Science,Math,Communication,Adaptability,Design,AI Researcher
Science,Chemistry,Creativity,Adaptability,Healthcare,Architect
Engineering,Physics,Communication,Collaboration,Healthcare,Lawyer
Computer Science,History,Creativity,Empathy,Research,Pharmacist
Arts,CS,Problem Solving,Adaptability,Marketing,Entrepreneur
Management,Biology,Analytical Thinking,Adaptability,Design,Investment Banker
Commerce,Accounts,Research,Adaptability,Marketing,Mechanical Engineer
Science,Economics,Creativity,Empathy,Marketing,Entrepreneur
Science,Physics,Teamwork,Empathy,Research,Web Developer
Science,Math,Analytical Thinking,Collaboration,Education,Investment Banker
Science,Chemistry,Programming,Collaboration,IT,Lawyer
Commerce,History,Analytical Thinking,Time Management,Finance,Entrepreneur
Medical,Physics,Teamwork,Critical Thinking,Engineering,Civil Servant
Management,Economics,Analytical Thinking,Empathy,IT,Investment Banker
Management,Geography,Problem Solving,Leadership,Engineering,Robotics Engineer
Engineering,Chemistry,Programming,Leadership,Engineering,Pharmacist
Management,History,Teamwork,Collaboration,Education,AI Researcher
Computer Science,Economics,Problem Solving,Empathy,Finance,Web Developer
Management,Biology,Problem Solving,Empathy,IT,Entrepreneur
Computer Science,Chemistry,Creativity,Leadership,Education,Civil Servant
Commerce,Chemistry,Research,Empathy,Design,Business Analyst
Engineering,Biology,Research,Empathy,Design,Business Analyst
Computer Science,Math,Problem Solving,Adaptability,Education,Robotics Engineer
Computer Science,History,Communication,Leadership,Design,Investment Banker
Commerce,Geography,Problem Solving,Critical Thinking,Healthcare,Doctor
Engineering,CS,Analytical Thinking,Leadership,Finance,Accountant
Computer Science,Math,Research,Empathy,Finance,Entrepreneur
Medical,CS,Communication,Leadership,IT,Software Engineer
Arts,Geography,Problem Solving,Time Management,Engineering,Investment Banker
Management,Biology,Programming,Adaptability,Healthcare,Doctor
Science,Biology,Analytical Thinking,Collaboration,Design,Civil Servant
Science,Geography,Research,Critical Thinking,Healthcare,Psychologist
Medical,CS,Problem Solving,Collaboration,Design,Entrepreneur
Computer Science,CS,Research,Empathy,Finance,Mechanical Engineer
Management,Economics,Programming,Empathy,Healthcare,Architect
Engineering,Chemistry,Problem Solving,Empathy,IT,Entrepreneur
Science,Geography,Problem Solving,Empathy,Marketing,Lawyer
Commerce,Geography,Analytical Thinking,Collaboration,Research,Investment Banker
Arts,Chemistry,Analytical Thinking,Empathy,Finance,Psychologist
Medical,Math,Communication,Critical Thinking,Design,AI Researcher
Computer Science,Geography,Problem Solving,Leadership,Healthcare,Robotics Engineer
Science,CS,Problem Solving,Leadership,Education,Psychologist
Medical,Geography,Creativity,Empathy,Education,Doctor
Commerce,Biology,Communication,Collaboration,Healthcare,Robotics Engineer
Medical,Economics,Teamwork,Collaboration,Engineering,Business Analyst
Medical,CS,Analytical Thinking,Time Management,Finance,UX Designer
Management,Chemistry,Problem Solving,Critical Thinking,Design,Doctor
Science,Geography,Teamwork,Time Management,IT,Accountant
Engineering,Biology,Teamwork,Collaboration,Education,Lawyer
Science,Biology,Research,Adaptability,Engineering,Investment Banker
Arts,Chemistry,Creativity,Critical Thinking,Design,Entrepreneur
Science,Geography,Programming,Leadership,IT,Civil Servant
Medical,Math,Analytical Thinking,Leadership,Research,Data Scientist
Medical,History,Communication,Empathy,Healthcare,Business Analyst
Science,Math,Programming,Empathy,Education,Pharmacist
Computer Science,CS,Creativity,Adaptability,Design,Software Engineer
Medical,CS,Problem Solving,Collaboration,Finance,Psychologist
Commerce,Accounts,Teamwork,Empathy,Marketing,Civil Servant
Science,Biology,Programming,Leadership,Education,Robotics Engineer
Science,Biology,Programming,Leadership,Design,Psychologist
Management,Geography,Programming,Critical Thinking,IT,Architect
Medical,Chemistry,Communication,Critical Thinking,Healthcare,Robotics Engineer
Science,Chemistry,Programming,Critical Thinking,Marketing,Data Scientist
Engineering,Economics,Research,Adaptability,IT,Robotics Engineer
Engineering,History,Problem Solving,Empathy,Finance,Psychologist
Engineering,Chemistry,Analytical Thinking,Collaboration,Engineering,Robotics Engineer
Computer Science,Accounts,Communication,Collaboration,Healthcare,Accountant
Commerce,Biology,Communication,Empathy,Finance,Robotics Engineer
Science,Biology,Research,Adaptability,Research,AI Researcher
Computer Science,Geography,Research,Critical Thinking,IT,Accountant
Computer Science,Physics,Creativity,Adaptability,Design,Psychologist
Science,Chemistry,Analytical Thinking,Time Management,Education,Entrepreneur
Science,CS,Communication,Collaboration,Design,Entrepreneur
Computer Science,Geography,Creativity,Collaboration,Education,Entrepreneur
Commerce,History,Research,Collaboration,Education,Web Developer
Engineering,Chemistry,Programming,Collaboration,Design,Marketing Manager
Computer Science,Biology,Communication,Empathy,Engineering,AI Researcher
Engineering,Accounts,Analytical Thinking,Empathy,Healthcare,Graphic Designer
Medical,Geography,Research,Adaptability,Marketing,Entrepreneur
Science,CS,Problem Solving,Collaboration,Research,Architect
Management,Chemistry,Communication,Empathy,Marketing,Civil Servant
Engineering,History,Research,Critical Thinking,Design,Business Analyst
Medical,Geography,Teamwork,Adaptability,IT,Data Scientist
Management,CS,Problem Solving,Empathy,Marketing,Accountant
Commerce,Physics,Analytical Thinking,Critical Thinking,Finance,Marketing Manager
Arts,Economics,Problem Solving,Time Management,Engineering,Lawyer
Engineering,Physics,Research,Critical Thinking,Research,UX Designer
Arts,Accounts,Communication,Adaptability,IT,Data Scientist
Science,Physics,Creativity,Collaboration,Marketing,Civil Servant
Commerce,Physics,Creativity,Time Management,Engineering,Entrepreneur
Science,Physics,Research,Time Management,Engineering,Teacher
Arts,History,Analytical Thinking,Adaptability,Healthcare,AI Researcher
Management,History,Problem Solving,Adaptability,Education,Architect
Science,Geography,Communication,Leadership,Finance,Architect
Science,Physics,Programming,Adaptability,Design,Robotics Engineer
Medical,Math,Programming,Critical Thinking,Healthcare,Architect
Medical,History,Research,Collaboration,Engineering,UX Designer
Medical,Biology,Teamwork,Empathy,Healthcare,Lawyer
Management,Economics,Programming,Time Management,Marketing,Teacher
Medical,Accounts,Teamwork,Leadership,IT,Teacher
Management,Economics,Research,Collaboration,Marketing,Mechanical Engineer
Management,Geography,Research,Collaboration,Engineering,Graphic Designer
Commerce,Chemistry,Communication,Adaptability,Education,Psychologist
Science,History,Communication,Leadership,Marketing,Robotics Engineer
Science,Economics,Communication,Collaboration,Marketing,Robotics Engineer
Science,Accounts,Communication,Critical Thinking,Marketing,Pharmacist
Commerce,Economics,Creativity,Empathy,Marketing,Business Analyst
Management,Physics,Analytical Thinking,Critical Thinking,Education,Investment Banker
Engineering,Economics,Communication,Leadership,Research,Teacher
Management,History,Analytical Thinking,Critical Thinking,Design,Civil Servant
Commerce,Economics,Teamwork,Empathy,Finance,Marketing Manager
Engineering,Math,Research,Empathy,Research,Teacher
Engineering,CS,Programming,Critical Thinking,Design,Doctor
Commerce,CS,Communication,Time Management,Marketing,Architect
Management,History,Research,Empathy,Design,Marketing Manager
Arts,Chemistry,Communication,Empathy,Research,Psychologist
Management,Biology,Analytical Thinking,Time Management,Marketing,UX Designer
Commerce,Physics,Programming,Time Management,Design,AI Researcher
Science,Physics,Creativity,Adaptability,Design,Software Engineer
Arts,History,Teamwork,Adaptability,IT,AI Researcher
Commerce,Math,Programming,Time Management,Healthcare,Business Analyst
Commerce,History,Analytical Thinking,Time Management,Education,Lawyer
Arts,History,Programming,Critical Thinking,IT,Data Scientist
Computer Science,Biology,Communication,Collaboration,IT,Teacher
Science,Chemistry,Teamwork,Empathy,Engineering,Robotics Engineer
Medical,Accounts,Communication,Empathy,Marketing,AI Researcher
Computer Science,CS,Teamwork,Critical Thinking,Education,Entrepreneur
Commerce,Economics,Teamwork,Empathy,Education,Entrepreneur
Arts,Math,Problem Solving,Critical Thinking,Marketing,Business Analyst
Management,Math,Analytical Thinking,Empathy,Healthcare,Lawyer
Science,Economics,Problem Solving,Collaboration,Healthcare,Mechanical Engineer
Engineering,Economics,Problem Solving,Collaboration,Design,Teacher
Management,Geography,Problem Solving,Collaboration,Marketing,Lawyer
Management,Physics,Analytical Thinking,Collaboration,IT,Architect
Management,Geography,Teamwork,Empathy,Research,Psychologist
Arts,History,Programming,Time Management,IT,Business Analyst
Medical,Physics,Teamwork,Critical Thinking,Healthcare,Doctor
Management,Math,Problem Solving,Adaptability,Research,Entrepreneur
Commerce,Geography,Research,Time Management,Research,Graphic Designer
Arts,CS,Teamwork,Leadership,Education,Lawyer
Commerce,Biology,Analytical Thinking,Empathy,Finance,Psychologist
Computer Science,CS,Programming,Empathy,IT,Data Scientist
Computer Science,CS,Communication,Leadership,IT,Lawyer
Arts,Accounts,Research,Empathy,Research,Business Analyst
Medical,History,Teamwork,Empathy,Marketing,AI Researcher
Engineering,Biology,Analytical Thinking,Leadership,Healthcare,UX Designer
Commerce,Physics,Problem Solving,Time Management,Engineering,Business Analyst
Arts,Economics,Creativity,Leadership,Research,Graphic Designer
Computer Science,History,Research,Leadership,Finance,Data Scientist
Management,Accounts,Analytical Thinking,Time Management,IT,Robotics Engineer
Arts,CS,Communication,Leadership,Healthcare,Teacher
Medical,Economics,Research,Time Management,Finance,Marketing Manager
Medical,History,Research,Leadership,Education,Doctor
Management,CS,Analytical Thinking,Leadership,Engineering,Marketing Manager
Computer Science,Math,Analytical Thinking,Time Management,IT,Pharmacist
Science,History,Creativity,Leadership,Engineering,Accountant
Engineering,Physics,Research,Time Management,Finance,Marketing Manager
Science,Math,Research,Collaboration,IT,Pharmacist
Medical,Physics,Problem Solving,Empathy,Education,Data Scientist
Medical,CS,Teamwork,Critical Thinking,Marketing,Web Developer
Science,Accounts,Analytical Thinking,Empathy,IT,Psychologist
Medical,Biology,Communication,Critical Thinking,Education,Psychologist
Science,CS,Analytical Thinking,Empathy,Marketing,Accountant
Arts,Economics,Analytical Thinking,Leadership,Design,Robotics Engineer
Science,Chemistry,Research,Empathy,Research,Doctor
Engineering,Math,Research,Empathy,Healthcare,Pharmacist
Science,Chemistry,Research,Critical Thinking,Engineering,Entrepreneur
Science,Geography,Creativity,Leadership,Finance,Pharmacist
Medical,Physics,Problem Solving,Adaptability,Engineering,Architect
Commerce,History,Teamwork,Collaboration,Education,Entrepreneur
Science,Math,Creativity,Collaboration,Finance,Doctor
Computer Science,Economics,Programming,Empathy,Design,Investment Banker
Medical,Chemistry,Communication,Adaptability,Finance,Teacher
Medical,Biology,Research,Critical Thinking,Marketing,Civil Servant
Commerce,CS,Analytical Thinking,Time Management,Marketing,Architect
Science,Biology,Creativity,Empathy,Healthcare,Teacher
Commerce,Physics,Programming,Time Management,Marketing,Pharmacist
Science,Economics,Research,Adaptability,Healthcare,Teacher
Medical,Accounts,Problem Solving,Time Management,Healthcare,Robotics Engineer
Science,CS,Communication,Empathy,Research,Psychologist
Arts,Chemistry,Teamwork,Adaptability,Marketing,Software Engineer
Arts,Math,Programming,Collaboration,Design,Business Analyst
Medical,CS,Research,Time Management,Engineering,Accountant
Commerce,Economics,Problem Solving,Empathy,Engineering,Doctor
Management,Geography,Research,Empathy,Healthcare,Graphic Designer
Management,Biology,Creativity,Empathy,Finance,Accountant
Medical,Biology,Analytical Thinking,Leadership,Design,Web Developer
Commerce,Accounts,Analytical Thinking,Time Management,Healthcare,Graphic Designer
Computer Science,Geography,Research,Leadership,Finance,AI Researcher
Science,History,Analytical Thinking,Leadership,Design,Lawyer
Management,Accounts,Problem Solving,Critical Thinking,Research,AI Researcher
Commerce,Biology,Analytical Thinking,Critical Thinking,Healthcare,AI Researcher
Management,Economics,Programming,Collaboration,Finance,Data Scientist
Engineering,Accounts,Creativity,Collaboration,Healthcare,Web Developer
Science,History,Programming,Critical Thinking,Design,Marketing Manager
Science,Economics,Programming,Adaptability,IT,Accountant
Management,Physics,Communication,Collaboration,Research,Psychologist
Engineering,Math,Teamwork,Collaboration,Healthcare,Pharmacist
Arts,Chemistry,Teamwork,Adaptability,Design,Accountant
Computer Science,Economics,Research,Adaptability,Research,UX Designer
Management,History,Programming,Time Management,IT,Pharmacist
Management,Accounts,Programming,Leadership,IT,Web Developer
Science,Economics,Problem Solving,Adaptability,Marketing,Graphic Designer
Commerce,Economics,Programming,Critical Thinking,Healthcare,Civil Servant
Arts,Physics,Analytical Thinking,Leadership,Finance,Lawyer
Science,Math,Analytical Thinking,Time Management,Design,Architect
Arts,Physics,Teamwork,Time Management,Engineering,Investment Banker
Medical,Chemistry,Problem Solving,Critical Thinking,Engineering,Mechanical Engineer
Commerce,Geography,Analytical Thinking,Empathy,Marketing,UX Designer
Commerce,Accounts,Research,Critical Thinking,Finance,AI Researcher
Management,Economics,Communication,Leadership,Finance,Software Engineer
Computer Science,Biology,Research,Adaptability,Design,Doctor
Medical,History,Analytical Thinking,Leadership,Research,Teacher
Medical,Math,Communication,Empathy,IT,Business Analyst
Science,Economics,Problem Solving,Collaboration,Design,Marketing Manager
Arts,Physics,Problem Solving,Time Management,Research,AI Researcher
Science,Chemistry,Communication,Leadership,Healthcare,Psychologist
Computer Science,Physics,Problem Solving,Collaboration,Research,UX Designer
Science,Economics,Problem Solving,Time Management,Design,Civil Servant
Science,CS,Communication,Critical Thinking,Research,Software Engineer
Engineering,Accounts,Analytical Thinking,Leadership,Engineering,Data Scientist
Medical,History,Creativity,Empathy,Research,Software Engineer
Science,Chemistry,Teamwork,Empathy,Education,Architect
Medical,CS,Analytical Thinking,Empathy,Education,Teacher
Science,Math,Teamwork,Leadership,Healthcare,Civil Servant
Commerce,Physics,Research,Empathy,Design,Robotics Engineer
Engineering,Accounts,Creativity,Leadership,Engineering,Civil Servant
Management,Math,Analytical Thinking,Leadership,Healthcare,Entrepreneur
Management,Accounts,Communication,Empathy,IT,Investment Banker
Arts,Accounts,Problem Solving,Empathy,Engineering,Teacher
Science,History,Programming,Adaptability,Education,Mechanical Engineer
